Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
291.0,Night at the Museum: Battle of the Smithsonian ,413106000.0,Twentieth Century Fox,150000000.0,PG,105.0,Adventure Comedy Family Fantasy
292.0,Batman ,411557000.0,Warner Bros.,35000000.0,,126.0,Action Adventure
293.0,The Bodyguard ,411007000.0,Warner Bros.,,R,129.0,Action Drama Music Romance Thriller
294.0,Pacific Rim ,411003000.0,Warner Bros.,190000000.0,PG-13,131.0,Action Adventure Sci-Fi
295.0,Kingsman: The Golden Circle ,410903000.0,Twentieth Century Fox,104000000.0,R,141.0,Action Adventure Comedy
296.0,The Mummy ,409232000.0,Universal Pictures,125000000.0,PG-13,110.0,Action Adventure Fantasy Thriller
297.0,Ice Age: Collision Course ,408579000.0,Twentieth Century Fox,105000000.0,PG,94.0,Adventure Animation Comedy Family Fantasy Romance Sci-Fi
298.0,Twilight ,408425000.0,Summit Entertainment,37000000.0,PG-13,122.0,Drama Fantasy Romance
299.0,Signs ,408248000.0,Walt Disney Studios Motion Pictures,72000000.0,PG-13,106.0,Drama Mystery Sci-Fi Thriller
300.0,X2: X-Men United ,407712000.0,Twentieth Century Fox,110000000.0,PG-13,134.0,Action Sci-Fi Thriller
301.0,Alita: Battle Angel ,404853000.0,Twentieth Century Fox,170000000.0,PG-13,122.0,Action Adventure Sci-Fi Thriller
302.0,Toy Story ,404265000.0,Walt Disney Studios Motion Pictures,,,81.0,Adventure Animation Comedy Family Fantasy
303.0,The Mummy: Tomb of the Dragon Emperor ,403450000.0,Universal Pictures,145000000.0,PG-13,112.0,Action Fantasy Horror Thriller
304.0,Prometheus ,403354000.0,Twentieth Century Fox,130000000.0,R,124.0,Adventure Mystery Sci-Fi
305.0,Gone with the Wind ,402353000.0,Metro-Goldwyn-Mayer (MGM),,,,Drama History Romance War
306.0,TRON: Legacy ,400063000.0,Walt Disney Studios Motion Pictures,170000000.0,PG,125.0,Action Adventure Sci-Fi
307.0,Mission: Impossible III ,398479000.0,Paramount Pictures,150000000.0,PG-13,126.0,Action Adventure Thriller
308.0,Grease ,396962000.0,Paramount Pictures,6000000.0,PG-13,110.0,Musical Romance
309.0,Snow White and the Huntsman ,396593000.0,Universal Pictures,170000000.0,PG-13,127.0,Action Adventure Drama Fantasy
310.0,Mamma Mia! Here We Go Again ,395045000.0,Universal Pictures,75000000.0,PG-13,114.0,Comedy Musical Romance
